OBJECTID,StreetID,Name,Type,LeftFrom,LeftTo,RightTo,SegmentID,Surface,Class,Curb,Width,Miles,Cross1,Cross12,Cross2,Cross22,GlobalID
1,1657.0,I 40, ,0,0,263,1,,Interstate,,,0.50188,NEW HOPE CHURCH RD,NEW HOPE CHURCH RD, , ,{BB7FBEE6-DD8A-44AE-82A1-FEA18A51888F}
2,2988.0,I 40, ,263,263,0,2,,Interstate,,,0.52905,NEW HOPE CHURCH RD,NEW HOPE CHURCH RD, , ,{5C477ECF-BB73-4898-8BA8-124C1B400C18}
3,4223.0,TRADITIONAL,WAY,5901,5971,5970,3,Unpaved,Private,No,,0.06501, , , , ,{465DB911-A978-49F2-A419-07095BD416B5}
4,4222.0,FAMILIAR,WAY,5601,5683,5684,4,Unpaved,Private,No,,0.08182,NEW HOPE CHURCH RD, , , ,{0638A2A5-2CE8-4910-A019-F9CD99FDE35D}
5,4222.0,FAMILIAR,WAY,5685,5763,5764,5,Unpaved,Private,No,,0.07823, , , , ,{7845847C-A0B5-4A6C-A41A-C8F5ACB8FDF7}
6,1659.0,NC 86, ,6114,6198,6199,6,Asphalt,Major Coll,No,,0.08008,OLD FARM MOBILE HOME PK, ,MILLHOUSE RD,MT SINAI RD,{D952E7C5-0495-421A-A017-FAC58757A9C6}
7,4664.0,NEAL TAPPS,RD,5901,5959,5958,7,BST,Private,No,,0.20204,NC 86 S,NC 86 S, , ,{1E4C210D-EE7A-480D-8D33-DB831C8096F8}
8,1659.0,NC 86, ,6900,7106,7105,9,Asphalt,Minor Art,No,,0.30564,CLYDE RD, ,HILLTOP MOBILE HOME PK, ,{DB25354A-6C5B-4C38-9386-8DAE5848763A}
9,4519.0,MARY KATHRYN,LN,101,103,104,10,Unpaved,Private,No,,0.01216,NC 86 S,NC 86 S, , ,{12F93B64-E98F-4BF7-89BD-711097FCD461}
10,2988.0,I 40, ,265,265,0,26906,BST,Interstate,,,0.99302, , ,40,MILLHOUSE RD,{D4DBD58D-D303-41EB-9FB8-C03B2A2D0D92}
11,4519.0,MARY KATHRYN,LN,105,139,140,12,Unpaved,Private,No,,0.09648,Old Moze Trail, , , ,{0D884DF7-F522-4610-B2BF-21BA392C14ED}
12,1068.0,HIDEAWAY,DR,5900,5920,5921,13,BST,Local,,,0.13214, , ,NC 86,NC 86,{E480B6EA-A80B-4A26-9248-FC7EFFE1AEF6}
13,1980.0,NC HWY 54,FWY,0,0,0,15,Asphalt,Prin Art,No,,0.18374, , , , ,{A3EB3E5A-4798-43A0-9AAC-4E27111A5F00}
14,1980.0,NC HWY 54,FWY,0,0,0,16,Asphalt,Prin Art,No,,0.18317, , , , ,{20DDC2E2-E2B4-46AE-8AE6-42C10B0531C3}
15,1980.0,NC HWY 54,FWY,0,0,0,18,Asphalt,Prin Art,No,,0.2138, , , , ,{99749AEE-F97C-4F6C-8CC1-D3CA70290805}
16,1980.0,NC HWY 54,FWY,0,0,0,19,Asphalt,Prin Art,No,,0.21429, , , , ,{9BB297D9-9720-4AA8-9227-DE8AC526FBB4}
17,1236.0,JULIETTE,CT,101,107,108,20,BST,Local,Y,,0.04418, , , , ,{FE344DE7-FD65-4242-82B7-B525A42578F2}
18,1657.0,I 40, ,0,0,265,26905,BST,Interstate,,,1.00123, , ,MILL HOUSE RD,MILLHOUSE RD,{8C0D5D62-3AE4-42D2-90EE-707A060E8909}
19,1659.0,NC 86, ,0,0,0,22,Asphalt,Prin Art,No,,0.2233,I-40,I-40,I-40,I-40,{E52BCA62-B658-483F-B09B-F1B511E66443}
20,1659.0,NC 86, ,0,0,7501,23,Asphalt,Prin Art,No,,0.21442,I-40,I-40,I-40,AIRPORT RD,{B682E72C-F23B-45EF-98E2-69F10B270332}
21,2988.0,I 40, ,266,266,0,24,BST,Interstate,,,0.58394, , ,NC 86,NC 86,{11F0D8D7-B513-410B-8A78-FB5865659CD3}
22,1544.0,MENDEL,DR,51,99,98,25,BST,Local,Y,27.0,0.04162, , ,OLD FOREST CREEK DR,OLD FOREST CREEK DR,{5F41A5D9-5566-4106-8C8F-3C61CB491B8F}
